Asset_Number,Lag,ACF_Value
300026,2,-0.1099
300026,3,-0.1021
300026,4,-0.0632
300026,5,-0.0847
300026,6,-0.0713
300026,7,-0.0426
300026,8,-0.0137
300026,9,0.0303
300026,10,-0.0207
300026,11,-0.0188
300026,12,0.0162
300026,13,0.008
300026,14,-0.003
300026,15,0.0063
300026,16,0.0263
300026,17,-0.0243
300026,18,0.0159
300026,19,0.006
300026,20,-0.0018
300027,0,1.0
300027,1,-0.0303
300027,2,-0.1763
300027,3,-0.0987
300027,4,-0.0873
300027,5,-0.0729
300027,6,-0.0611
300027,7,0.0229
300027,8,0.0435
300027,9,-0.0042
300027,10,-0.0274
300027,11,0.0089
300027,12,0.0064
300027,13,-0.0429
300027,14,0.0305
300027,15,-0.0013
300027,16,-0.0343
300027,17,0.0128
300027,18,-0.0277
300027,19,0.043
300027,20,-0.0116
300028,0,1.0
300028,1,-0.0162
300028,2,-0.1317
300028,3,-0.1105
300028,4,-0.0623
300028,5,-0.0549
300028,6,-0.063
300028,7,-0.0065
300028,8,-0.0192
300028,9,-0.0168
300028,10,0.0281
300028,11,0.0413
300028,12,-0.0309
300028,13,-0.0373
300028,14,-0.0266
300028,15,-0.0178
300028,16,0.0108
300028,17,-0.0098
300028,18,-0.0266
300028,19,-0.0211
300028,20,0.0025
300029,0,1.0
300029,1,-0.0181
300029,2,-0.1322
300029,3,-0.0964
300029,4,-0.0853
300029,5,-0.0106
300029,6,-0.0146
300029,7,-0.0508
300029,8,0.0029
300029,9,-0.0348
300029,10,-0.0121
300029,11,-0.0038
300029,12,0.0232
300029,13,0.0337
300029,14,0.0045
300029,15,-0.0363
300029,16,-0.0475
300029,17,0.0346
300029,18,0.0009
300029,19,0.0195
300029,20,-0.0201
300030,0,1.0
300030,1,-0.0182
300030,2,-0.1448
300030,3,-0.1171
300030,4,-0.0739
300030,5,-0.0412
300030,6,0.0196
300030,7,-0.0628
300030,8,-0.0663
300030,9,-0.0221
300030,10,-0.0077
300030,11,0.0074
300030,12,0.0172
300030,13,0.018
300030,14,-0.0164
300030,15,-0.006
300030,16,0.004
300030,17,0.0199
300030,18,0.0406
300030,19,0.0117
300030,20,0.0092
300031,0,1.0
300031,1,-0.0239
300031,2,-0.1632
300031,3,-0.1088
300031,4,-0.0492
300031,5,-0.0514
300031,6,-0.0736
300031,7,-0.0105
300031,8,0.0034
300031,9,-0.0379
300031,10,0.0201
300031,11,0.0258
300031,12,-0.0371
300031,13,-0.0032
300031,14,0.004
300031,15,0.0016
300031,16,0.0175
300031,17,-0.0123
300031,18,0.0259
300031,19,-0.027
300031,20,-0.0052
300032,0,1.0
300032,1,-0.0152
300032,2,-0.1319
300032,3,-0.0784
300032,4,-0.0668
300032,5,-0.0686
300032,6,-0.0499
300032,7,-0.0111
300032,8,-0.0099
300032,9,-0.0066
300032,10,-0.0241
300032,11,-0.0168
300032,12,-0.0367
300032,13,0.0234
300032,14,-0.0135
300032,15,-0.0447
300032,16,-0.0553
300032,17,0.0123
300032,18,0.0454
300032,19,0.0416
300032,20,-0.0023
300033,0,1.0
300033,1,-0.0287
300033,2,-0.1822
300033,3,-0.1128
300033,4,-0.1232
300033,5,-0.0199
300033,6,0.0102
300033,7,-0.0201
300033,8,-0.0021
300033,9,-0.0377
300033,10,-0.0196
300033,11,0.0348
300033,12,0.0126
300033,13,-0.0262
300033,14,0.0838
300033,15,-0.0339
300033,16,-0.0065
300033,17,0.0077
300033,18,-0.0294
300033,19,-0.0342
300033,20,-0.0112
300034,0,1.0
300034,1,-0.0207
300034,2,-0.1508
300034,3,-0.0913
300034,4,-0.1051
300034,5,-0.0624
300034,6,-0.005
300034,7,-0.0061
300034,8,-0.0156
300034,9,0.012
300034,10,-0.0063
300034,11,0.0222
300034,12,-0.0609
300034,13,-0.0268
300034,14,0.0244
300034,15,-0.0303
300034,16,-0.0046
300034,17,0.0229
300034,18,-0.0352
300034,19,0.0189
300034,20,0.0391
300035,0,1.0
300035,1,-0.0256
300035,2,-0.1698
300035,3,-0.0727
300035,4,-0.0803
300035,5,-0.0298
300035,6,-0.0504
300035,7,0.0382
300035,8,-0.0186
300035,9,-0.0406
300035,10,0.0188
300035,11,0.0313
300035,12,-0.0498
300035,13,-0.0095
300035,14,-0.0181
300035,15,0.0035
300035,16,-0.0102
300035,17,-0.0297
300035,18,-0.0283
300035,19,-0.053
300035,20,0.0365
300036,0,1.0
300036,1,-0.019
300036,2,-0.1449
300036,3,-0.1269
300036,4,-0.0867
300036,5,-0.0554
300036,6,-0.0564
300036,7,0.0373
300036,8,-0.0613
300036,9,0.0333
300036,10,-0.013
300036,11,0.0601
300036,12,-0.023
300036,13,0.0069
300036,14,-0.0045
300036,15,-0.0221
300036,16,-0.0385
300036,17,-0.024
300036,18,0.0527
300036,19,-0.0271
300036,20,-0.0363
300037,0,1.0
300037,1,-0.0192
300037,2,-0.1386
300037,3,-0.122
300037,4,-0.0553
300037,5,-0.0294
300037,6,-0.0582
300037,7,-0.0117
300037,8,-0.0056
300037,9,-0.0081
300037,10,-0.0157
300037,11,-0.0038
300037,12,0.0022
300037,13,-0.0216
300037,14,-0.0231
300037,15,-0.0126
300037,16,-0.0263
300037,17,0.044
300037,18,0.0514
300037,19,0.0184
300037,20,-0.0125
300038,0,1.0
300038,1,-0.015
300038,2,-0.126
300038,3,-0.0947
300038,4,-0.1081
300038,5,-0.0773
300038,6,-0.0204
300038,7,0.0088
300038,8,0.0063
300038,9,0.0075
300038,10,-0.0847
300038,11,-0.005
300038,12,0.0337
300038,13,-0.0026
300038,14,0.0009
300038,15,-0.0348
300038,16,-0.0478
300038,17,-0.0005
300038,18,0.0464
300038,19,0.0217
300038,20,0.0267
300039,0,1.0
300039,1,-0.0198
300039,2,-0.1398
300039,3,-0.0978
300039,4,-0.0642
300039,5,-0.0526
300039,6,-0.0383
300039,7,-0.0159
300039,8,-0.0303
300039,9,0.0249
300039,10,-0.0001
300039,11,-0.033
300039,12,-0.0007
300039,13,-0.0153
300039,14,-0.0599
300039,15,0.0173
300039,16,0.0481
300039,17,-0.0297
300039,18,0.0094
300039,19,-0.0033
300039,20,0.0042
600053,0,1.0
600053,1,-0.0203
600053,2,-0.1436
600053,3,-0.1164
600053,4,-0.0595
600053,5,-0.0719
600053,6,-0.0443
600053,7,-0.0508
600053,8,-0.0315
600053,9,0.0206
600053,10,0.0599
600053,11,0.0006
600053,12,-0.0521
600053,13,0.0211
